starts fetching pub dev stats...
Fetching data for 10/250 packages ...
Fetching data for 20/250 packages ...
Fetching data for 30/250 packages ...
Fetching data for 40/250 packages ...
Fetching data for 50/250 packages ...
Fetching data for 60/250 packages ...
Fetching data for 70/250 packages ...
Fetching data for 80/250 packages ...
Fetching data for 90/250 packages ...
Fetching data for 100/250 packages ...
Fetching data for 110/250 packages ...
Fetching data for 120/250 packages ...
Fetching data for 130/250 packages ...
Fetching data for 140/250 packages ...
Fetching data for 150/250 packages ...
Fetching data for 160/250 packages ...
Fetching data for 170/250 packages ...
Fetching data for 180/250 packages ...
Fetching data for 190/250 packages ...
Fetching data for 200/250 packages ...
Fetching data for 210/250 packages ...
Fetching data for 220/250 packages ...
Fetching data for 230/250 packages ...
Fetching data for 240/250 packages ...
Fetching data for 250/250 packages ...
┌─────────┬──────────────────────────────────┬───────┬────────┬────────────┬────────────┬──────────────┬───────────────────────────────────┬────────────────────────┐
│ (index) │               name               │ likes │ health │ popularity │ isNullSafe │ isFlutterFav │              version              │       developer        │
│   69    │             'logger'             │  710  │  130   │     99     │    true    │    false     │              '1.0.0'              │       undefined        │
│   70    │      'flutter_form_builder'      │  704  │  130   │     97     │    true    │    false     │              '6.0.0'              │  'danvickmiller.dev'   │
│   71    │           'just_audio'           │  696  │  130   │     97     │    true    │     true     │              '0.7.4'              │    'ryanheise.com'     │
│   72    │            'stacked'             │  682  │  110   │     97     │    true    │    false     │              '2.1.0'              │   'filledstacks.com'   │
│   73    │      'responsive_framework'      │  679  │  120   │     96     │    true    │    false     │              '0.1.0'              │    'codelessly.com'    │
│   74    │           'auto_route'           │  672  │  110   │     97     │    true    │    false     │              '2.0.0'              │       undefined        │
│   75    │       'percent_indicator'        │  656  │  130   │     99     │    true    │    false     │     '3.0.13.3.0-nullsafety.1'     │   'diegoveloper.com'   │
│   76    │         'charts_flutter'         │  652  │   90   │     99     │   false    │    false     │             '0.10.0'              │       undefined        │
│   77    │              'pdf'               │  640  │  130   │     98     │    true    │    false     │              '3.3.0'              │       'nfet.net'       │
│   78    │         'image_cropper'          │  614  │  115   │     99     │    true    │    false     │              '1.4.0'              │      'hunghd.dev'      │
│   79    │          'supercharged'          │  608  │  130   │     99     │    true    │    false     │              '2.0.0'              │  'felix-blaschke.de'   │
│   80    │       'responsive_builder'       │  600  │  130   │     97     │    true    │    false     │              '0.4.1'              │   'filledstacks.com'   │
│   81    │   'persistent_bottom_nav_bar'    │  595  │  130   │     96     │    true    │    false     │              '4.0.2'              │       undefined        │
│   82    │        'pin_code_fields'         │  588  │  130   │     98     │    true    │    false     │              '7.0.0'              │     'theadar.xyz'      │
│   83    │         'flutter_hooks'          │  583  │  130   │     98     │    true    │    false     │             '0.16.0'              │  'dash-overflow.net'   │
│   84    │              'mobx'              │  583  │  130   │     98     │    true    │     true     │              '2.0.1'              │ 'dart.pixelingene.com' │
│   85    │       'flutter_typeahead'        │  576  │  120   │     98     │    true    │    false     │              '3.1.1'              │       undefined        │
│   86    │  'flutter_staggered_animations'  │  565  │  120   │     97     │    true    │    false     │              '1.0.0'              │     'mobiten.com'      │
│   87    │          'flutter_html'          │  562  │   80   │     99     │   false    │    false     │     '1.3.02.0.0-nullsafety.0'     │  'sub6resources.com'   │
│   88    │           'local_auth'           │  559  │  120   │     98     │    true    │    false     │              '1.1.5'              │     'flutter.dev'      │
│   89    │             'camera'             │  551  │  110   │     99     │    true    │    false     │              '0.8.1'              │     'flutter.dev'      │
│   90    │     'smooth_page_indicator'      │  549  │  110   │     97     │   false    │    false     │     '0.2.30.3.0-nullsafety.0'     │       undefined        │
│   91    │        'flutter_modular'         │  535  │  120   │     97     │    true    │    false     │              '3.1.1'              │  'flutterando.com.br'  │
│   92    │           'qr_flutter'           │  537  │  120   │     98     │    true    │    false     │              '4.0.0'              │     'theyakka.com'     │
│   93    │      'flutter_inappwebview'      │  532  │  120   │     99     │    true    │    false     │              '5.3.2'              │   'inappwebview.dev'   │
│   94    │            'timeago'             │  527  │  125   │     98     │    true    │    false     │              '3.0.2'              │       undefined        │
