
A total of 23/250 top packages come from Google
┌─────────┬──────────────────────────────┬───────┬────────┬────────────┬──────────┬──────────┬────────────────────────────┬───────────────┐
│ (index) │             name             │ likes │ health │ popularity │ nullSafe │ endorsed │          version           │   developer   │
│   83    │        'pin_code_fields'         │  592  │  130   │     98     │   true   │  false   │             '7.0.0'              │     'theadar.xyz'      │
│   84    │              'mobx'              │  587  │  130   │     98     │   true   │   true   │             '2.0.1'              │ 'dart.pixelingene.com' │
│   85    │       'flutter_typeahead'        │  582  │  120   │     98     │   true   │  false   │             '3.1.1'              │       undefined        │
│   86    │          'flutter_html'          │  570  │   80   │     99     │  false   │  false   │    '1.3.02.0.0-nullsafety.1'     │  'sub6resources.com'   │
│   87    │  'flutter_staggered_animations'  │  571  │  120   │     97     │   true   │  false   │             '1.0.0'              │     'mobiten.com'      │
│   88    │           'local_auth'           │  563  │  120   │     98     │   true   │  false   │             '1.1.5'              │     'flutter.dev'      │
│   89    │             'camera'             │  560  │  110   │     99     │   true   │  false   │             '0.8.1'              │     'flutter.dev'      │
│   90    │     'smooth_page_indicator'      │  555  │  110   │     97     │  false   │  false   │    '0.2.30.3.0-nullsafety.0'     │       undefined        │
│   91    │      'flutter_inappwebview'      │  547  │  120   │     99     │   true   │  false   │             '5.3.2'              │   'inappwebview.dev'   │
│   92    │           'qr_flutter'           │  542  │  120   │     98     │   true   │  false   │             '4.0.0'              │     'theyakka.com'     │
│   93    │        'flutter_modular'         │  537  │  120   │     97     │   true   │  false   │            '3.1.1+1'             │  'flutterando.com.br'  │
│   94    │       'flutter_rating_bar'       │  534  │  130   │     99     │   true   │  false   │             '4.0.0'              │ 'sarbagyastha.com.np'  │
│   95    │            'timeago'             │  531  │  125   │     99     │   true   │  false   │             '3.0.2'              │       undefined        │
│   96    │              'uuid'              │  529  │  130   │    100     │   true   │  false   │             '3.0.4'              │       'yuli.dev'       │
│   97    │       'sign_in_with_apple'       │  530  │  120   │     98     │   true   │   true   │             '3.0.0'              │     'aboutyou.com'     │
│   98    │         'extended_image'         │  527  │  130   │     98     │   true   │  false   │             '4.0.1'              │  'fluttercandies.com'  │
│   99    │          'smart_select'          │  525  │  100   │     96     │  false   │  false   │             '4.3.2'              │   'widgetarian.com'    │
│   100   │           'velocity_x'           │  517  │  130   │     95     │   true   │  false   │             '3.0.0'              │    'mtechviral.com'    │
│   101   │          'intro_slider'          │  513  │  120   │     97     │   true   │  false   │             '2.4.1'              │       undefined        │
│   102   │           'expandable'           │  506  │  130   │     98     │   true   │  false   │             '5.0.1'              │       undefined        │
│   103   │        'firebase_storage'        │  504  │  120   │     99     │   true   │  false   │             '8.0.5'              │ 'firebase.google.com'  │
│   104   │        'in_app_purchase'         │  502  │  110   │     97     │   true   │  false   │             '0.5.2'              │     'flutter.dev'      │
│   105   │  'material_floating_search_bar'  │  499  │  130   │     95     │   true   │  false   │             '0.3.4'              │       undefined        │
│   106   │           'getwidget'            │  498  │  100   │     95     │  false   │  false   │    '1.2.42.0.1-nullsafety.4'     │    'getwidget.dev'     │
│   107   │     'youtube_player_flutter'     │  487  │  120   │     98     │   true   │  false   │             '8.0.0'              │ 'sarbagyastha.com.np'  │
│   108   │        'flutter_blurhash'        │  478  │  130   │     99     │   true   │  false   │             '0.6.0'              │ 'fluttercommunity.dev' │
│   109   │         'rflutter_alert'         │  478  │  120   │     98     │   true   │  false   │             '2.0.2'              │     'ratel.com.tr'     │
│   110   │   'scrollable_positioned_list'   │  473  │  110   │     98     │  false   │  false   │    '0.1.100.2.0-nullsafety.0'    │      'google.dev'      │
│   111   │      'assets_audio_player'       │  469  │  110   │     97     │   true   │  false   │            '3.0.3+2'             │       undefined        │
│   112   │         'flutter_icons'          │  468  │   85   │     98     │  false   │  false   │             '1.1.0'              │       undefined        │
│   113   │         'google_nav_bar'         │  444  │  120   │     95     │   true   │  false   │             '5.0.5'              │    'sooxt98.space'     │
│   114   │        'bottom_navy_bar'         │  443  │  120   │     96     │   true   │   true   │             '6.0.0'              │  'pedromassango.dev'   │
│   115   │         'audio_service'          │  443  │  130   │     95     │   true   │  false   │             '0.17.0'             │    'ryanheise.com'     │
│   116   │     'sleek_circular_slider'      │  443  │  110   │     95     │   true   │  false   │             '2.0.0'              │       undefined        │
│   117   │       'firebase_analytics'       │  441  │  120   │     99     │   true   │  false   │             '8.0.2'              │ 'firebase.google.com'  │
│   118   │     'flutter_cache_manager'      │  441  │  110   │     99     │   true   │  false   │             '3.0.1'              │     'baseflow.com'     │
│   119   │         'flutter_login'          │  440  │  110   │     95     │  false   │  false   │    '1.1.02.0.0-nullsafety.0'     │       undefined        │
│   120   │       'google_mobile_ads'        │  438  │  110   │     97     │   true   │  false   │            '0.12.1+1'            │      'google.dev'      │
│   121   │      'flutter_easyloading'       │  435  │  130   │     97     │   true   │  false   │             '3.0.0'              │       undefined        │
│   122   │            'pedantic'            │  433  │  130   │    100     │   true   │  false   │             '1.11.0'             │      'google.dev'      │
│   123   │        'page_transition'         │  433  │  110   │     98     │  false   │  false   │   '1.1.7+62.0.1-nullsafety.0'    │    'yasinilhan.com'    │
│   124   │         'flare_flutter'          │  432  │   90   │     99     │   true   │  false   │             '3.0.0'              │       'rive.app'       │
│   125   │            'wakelock'            │  430  │  130   │     99     │   true   │  false   │             '0.5.1'              │ 'creativemaybeno.dev'  │
│   126   │           'bot_toast'            │  429  │  120   │     97     │   true   │  false   │             '4.0.1'              │       undefined        │
│   127   │             'chewie'             │  428  │  120   │     99     │   true   │  false   │             '1.0.0'              │       undefined        │
│   128   │       'multi_image_picker'       │  426  │  120   │     98     │   true   │  false   │             '4.8.0'              │       undefined        │
│   129   │         'sliding_sheet'          │  420  │  120   │     94     │   true   │  false   │             '0.5.0'              │       undefined        │
│   130   │           'uni_links'            │  417  │  130   │     98     │   true   │  false   │             '0.5.1'              │       undefined        │
│   131   │        'qr_code_scanner'         │  418  │  120   │     98     │   true   │  false   │             '0.4.0'              │       undefined        │
│   132   │         'in_app_review'          │  417  │  120   │     96     │   true   │  false   │             '2.0.2'              │    'britannio.dev'     │
│   133   │             'image'              │  414  │  120   │    100     │   true   │  false   │             '3.0.2'              │       undefined        │
│   134   │              'path'              │  413  │  130   │    100     │   true   │  false   │             '1.8.0'              │       'dart.dev'       │
│   135   │         'awesome_dialog'         │  411  │  120   │     97     │   true   │  false   │             '2.0.0'              │       undefined        │
│   136   │          'showcaseview'          │  407  │  120   │     95     │   true   │  false   │             '1.0.0'              │     'simform.com'      │
│   137   │             'flame'              │  407  │   80   │     95     │  false   │  false   │        '0.29.41.0.0-rc9'         │   'flame-engine.org'   │
│   138   │            'sembast'             │  404  │  130   │     97     │   true   │  false   │             '3.0.2'              │     'tekartik.com'     │
│   139   │             'fluro'              │  402  │  130   │     97     │   true   │  false   │             '2.0.3'              │   'lukepighetti.com'   │
│   140   │     'flutter_webview_plugin'     │  401  │   85   │     98     │  false   │  false   │             '0.3.11'             │ 'fluttercommunity.dev' │
