Google own a total of 25/250 top packages
│   38    │  39  │          'file_picker'           │ 1413  │  130   │     99     │   true   │  false   │              '4.0.1'              │   'miguelruivo.com'    │  true   │ true  │ true  │ true  │ true  │  true   │
│   39    │  40  │  'flutter_staggered_grid_view'   │ 1408  │  130   │     99     │   true   │  false   │              '0.4.0'              │   'romainrastel.com'   │  true   │ true  │ true  │ true  │ true  │  true   │
│   40    │  41  │         'flutter_swiper'         │ 1379  │  110   │     98     │  false   │  false   │              '1.1.6'              │       undefined        │  true   │ true  │ true  │ true  │ true  │  true   │
│   41    │  42  │         'device_preview'         │ 1368  │  110   │     97     │   true   │  false   │              '0.7.4'              │   'aloisdeniel.com'    │  true   │ true  │ true  │ true  │ false │  true   │
│   42    │  43  │       'convex_bottom_bar'        │ 1342  │  130   │     96     │   true   │   true   │              '3.0.0'              │     'hacktons.cn'      │  true   │ true  │ true  │ true  │ true  │  true   │
│   43    │  44  │            'location'            │ 1339  │  125   │     99     │   true   │   true   │              '4.3.0'              │      'bernos.dev'      │  true   │ true  │ false │ true  │ true  │  false  │
│   44    │  45  │          'fluttertoast'          │ 1325  │  130   │     99     │   true   │  false   │              '8.0.8'              │  'karthikponnam.dev'   │  true   │ true  │ false │ false │ true  │  false  │
│   45    │  46  │       'modal_bottom_sheet'       │ 1320  │  120   │     99     │   true   │  false   │              '2.0.0'              │   'jaimeblasco.com'    │  true   │ true  │ true  │ true  │ true  │  true   │
│   46    │  47  │             'rxdart'             │ 1294  │  125   │    100     │   true   │   true   │             '0.27.2'              │ 'fluttercommunity.dev' │  true   │ true  │ true  │ true  │ true  │  true   │
│   47    │  48  │        'sliding_up_panel'        │ 1291  │  130   │     98     │   true   │  false   │             '2.0.0+1'             │   'akshathjain.com'    │  true   │ true  │ true  │ true  │ true  │  true   │
│   48    │  49  │        'pull_to_refresh'         │ 1285  │  130   │     99     │   true   │  false   │              '2.0.0'              │       undefined        │  true   │ true  │ true  │ true  │ true  │  true   │
│   49    │  50  │       'flutter_screenutil'       │ 1271  │  130   │     99     │   true   │  false   │             '5.0.0+2'             │       undefined        │  true   │ true  │ true  │ true  │ true  │  true   │
