
A total of 24/250 top packages come from Google
┌─────────┬──────────────────────────────┬───────┬────────┬────────────┬──────────┬──────────┬────────────────────────────┬───────────────┐
│ (index) │             name             │ likes │ health │ popularity │ nullSafe │ endorsed │          version           │   developer   │
│   57    │          'video_player'          │  922  │  130   │     99     │   true   │  false   │              '2.1.5'              │     'flutter.dev'      │
│   58    │     'flutter_secure_storage'     │  921  │  120   │     99     │   true   │  false   │              '4.2.0'              │       undefined        │
│   59    │   'syncfusion_flutter_charts'    │  905  │  130   │     97     │   true   │  false   │            '19.1.66+1'            │    'syncfusion.com'    │
│   60    │          'audioplayers'          │  866  │  130   │     99     │   true   │  false   │             '0.19.0'              │    'fireslime.xyz'     │
│   61    │         'table_calendar'         │  857  │  130   │     98     │   true   │  false   │              '3.0.0'              │       undefined        │
│   62    │         'timeline_tile'          │  854  │  120   │     96     │   true   │  false   │              '2.0.0'              │ 'juliobitencourt.com'  │
│   63    │           'just_audio'           │  850  │  130   │     97     │   true   │   true   │              '0.7.5'              │    'ryanheise.com'     │
│   64    │          'package_info'          │  829  │  120   │     99     │   true   │  false   │              '2.0.2'              │     'flutter.dev'      │
│   65    │           'equatable'            │  823  │  130   │     99     │   true   │  false   │              '2.0.2'              │ 'fluttercommunity.dev' │
│   66    │       'easy_localization'        │  823  │  130   │     98     │   true   │  false   │              '3.0.0'              │       undefined        │
│   67    │             'badges'             │  818  │  130   │     99     │   true   │  false   │              '2.0.1'              │       'yako.io'        │
│   68    │             'lottie'             │  806  │  130   │     99     │   true   │  false   │              '1.0.1'              │       undefined        │
│   69    │      'flutter_form_builder'      │  779  │  130   │     97     │   true   │  false   │       '6.0.17.0.0-alpha.2'        │  'danvickmiller.dev'   │
│   70    │             'logger'             │  778  │  130   │     99     │   true   │  false   │              '1.0.0'              │       undefined        │
│   71    │     'curved_navigation_bar'      │  777  │  110   │     97     │  false   │  false   │     '0.3.70.4.0-nullsafety.0'     │    'mobilemvp.app'     │
│   72    │      'responsive_framework'      │  756  │  130   │     96     │   true   │  false   │              '0.1.0'              │    'codelessly.com'    │
│   73    │           'auto_route'           │  751  │  120   │     97     │   true   │  false   │              '2.2.0'              │       undefined        │
│   74    │            'stacked'             │  724  │  110   │     97     │   true   │  false   │              '2.1.7'              │   'filledstacks.com'   │
│   75    │       'percent_indicator'        │  705  │  130   │     99     │   true   │  false   │     '3.0.13.3.0-nullsafety.1'     │   'diegoveloper.com'   │
│   76    │         'charts_flutter'         │  701  │  100   │     99     │  false   │  false   │             '0.10.0'              │       undefined        │
│   77    │              'pdf'               │  697  │  120   │     98     │   true   │  false   │              '3.3.0'              │       'nfet.net'       │
│   78    │   'persistent_bottom_nav_bar'    │  689  │  130   │     97     │   true   │  false   │              '4.0.2'              │       undefined        │
